Date,Close
1962,3.946064293145176
1963,4.00156629803669
1964,4.187359956741333
1965,4.283694736450073
1966,4.925040008544922
1967,5.072650595362407
1968,5.644359998703003
1969,6.672741924562762
1970,7.35432000541687
1971,6.160883533906745
1972,6.206039995193481
1973,6.848104826865658
1974,7.56240963265599
1975,7.993935740137675
1976,7.612720012664795
1977,7.417630528829184
1978,8.408387111079309
1979,9.432943536389258
1980,11.433440006256104
1981,13.921365423853617
1982,13.005501984592422
1983,11.103000022888184
1984,12.458112444743573
1985,10.619798398786976
1986,7.672839990615845
1987,8.392679986953736
1988,8.847999984741211
1989,8.49372002029419
1990,8.552399980545044
1991,7.862440019607544
1992,7.008844613079056
1993,5.860908008575439
1994,7.069987991333008
1995,6.5639721159916
1996,6.427621510874228
1997,6.3384919891357425
1998,5.248760009765625
1999,5.634852001190185
2000,6.018726188039023
2001,4.996846779700248
2002,4.585587299059307
2003,3.999123503962361
2004,4.256738088433704
2005,4.282368009567261
2006,4.791599983215332
2007,4.626864530175806
2008,3.6487984195528296
2009,3.248623016334715
2010,3.1946533856638872
2011,2.7610158693222773
2012,1.7858520002365113
2013,2.338400793454004
2014,2.5285912657540943
2015,2.133607141082249
2016,1.8326414367592192
2017,2.327537845330409
2018,2.913685260065998
2019,2.1363333264986673
2020,0.8835256926627028
2021,1.4404523798397608
2022,2.9568366519958373
2023,3.965036003112793
2024,4.189387662820354
